pre_proCodigoProvincia,pre_depCodigoDepartamento,pre_munCodigoMunicipio,preMesasTotales,preMesasEscrutadas,prePorcenMesasEscrutadas,preVotosValidos,prePorcenVotosValidos,preVotosPositivos,prePorcenVotosPositivos,preVotosEnBlanco,prePorcenVotosEnBlanco,preVotosNulos,prePorcenVotosNulos,preVotosRecurridos,prePorcenVotosRecurridos,preElectores,preTotalVotantes,prePTotalVotantes,preParticipacion,preCandidatos,preParticipEscrutado,prePorcParticipEscrutado,OT_Codigo,OT_Votos,OT_PVotos
"02","998","999",1556,1474,9.47300034e+01,381681,9.88399963e+01,367805,9.63600006e+01,13876,3.64000010e+00,3667,9.49999988e-01,829,2.09999993e-01,532912,386177,7.24700012e+01,,0,,7.63799973e+01,"9997",24805,6.73999977e+00
"02","999","999",35589,34052,9.56800003e+01,8884835,9.86999969e+01,8438373,9.49800034e+01,446462,5.01999998e+00,78362,8.70000005e-01,38343,4.30000007e-01,12253913,9001540,7.34599991e+01,,0,,7.67600021e+01,"9997",359618,4.26000023e+00
"03","001","035",389,367,9.43399963e+01,75494,9.79400024e+01,71701,9.49800034e+01,3793,5.01999998e+00,1466,1.89999998e+00,118,1.50000006e-01,132272,77078,5.82700005e+01,,0,,6.17799988e+01,"9997",1808,2.51999998e+00
"03","001","999",389,367,9.43399963e+01,75494,9.79400024e+01,71701,9.49800034e+01,3793,5.01999998e+00,1466,1.89999998e+00,118,1.50000006e-01,132272,77078,5.82700005e+01,,0,,6.17799988e+01,"9997",1808,2.51999998e+00
"03","002","006",18,15,8.33300018e+01,2904,9.88099976e+01,2814,9.69000015e+01,90,3.09999990e+00,34,1.15999997e+00,1,2.99999993e-02,5467,2939,5.37599983e+01,,0,,6.53700027e+01,"9997",14,5.00000000e-01
"03","002","012",27,25,9.25899963e+01,5350,9.90899963e+01,4950,9.25199966e+01,400,7.48000002e+00,48,8.89999986e-01,1,1.99999996e-02,8184,5399,6.59700012e+01,,0,,7.20299988e+01,"9997",25,5.09999990e-01
"03","002","999",45,40,8.88899994e+01,8254,9.89899979e+01,7764,9.40599976e+01,490,5.94000006e+00,82,9.80000019e-01,2,1.99999996e-02,13651,8338,6.10800018e+01,,0,,6.95299988e+01,"9997",39,5.00000000e-01
"03","003","013",20,19,9.50000000e+01,3954,9.85800018e+01,3824,9.67099991e+01,130,3.28999996e+00,50,1.25000000e+00,7,1.70000002e-01,5908,4011,6.78899994e+01,,0,,6.88899994e+01,"9997",43,1.12000000e+00
"03","003","023",43,41,9.53499985e+01,8333,9.86299973e+01,7667,9.20100021e+01,666,7.98999977e+00,114,1.35000002e+00,2,1.99999996e-02,13531,8449,6.24399986e+01,,0,,6.47600021e+01,"9997",125,1.63000000e+00
"03","003","999",63,60,9.52399979e+01,12287,9.86100006e+01,11491,9.35199966e+01,796,6.48000002e+00,164,1.32000005e+00,9,7.00000003e-02,19439,12460,6.40999985e+01,,0,,6.60299988e+01,"9997",168,1.46000004e+00
"03","004","002",14,13,9.28600006e+01,1621,9.89000015e+01,1467,9.05000000e+01,154,9.50000000e+00,12,7.30000019e-01,6,3.70000005e-01,2725,1639,6.01500015e+01,,0,,6.41500015e+01,"0033",2,1.19999997e-01
"03","004","999",14,13,9.28600006e+01,1621,9.89000015e+01,1467,9.05000000e+01,154,9.50000000e+00,12,7.30000019e-01,6,3.70000005e-01,2725,1639,6.01500015e+01,,0,,6.41500015e+01,"0033",2,1.19999997e-01
"03","005","008",9,7,7.77799988e+01,1254,9.96800003e+01,1146,9.13899994e+01,108,8.60999966e+00,4,3.19999993e-01,0,0.00000000e+00,2278,1258,5.52200012e+01,,0,,6.25200005e+01,"9997",14,1.22000003e+00
"03","005","031",5,4,8.00000000e+01,864,9.94199982e+01,838,9.69899979e+01,26,3.00999999e+00,3,3.49999994e-01,2,2.30000004e-01,1402,869,6.19799995e+01,,0,,7.31500015e+01,"9997",11,1.30999994e+00
