vot_proCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_parCodigo,ordenPartidos,votVotosPartido,votPorcenVotos,votCandidatos
"02","015","999","0518",1,6514,3.71300011e+01,0
"02","015","999","0527",12,17,1.00000001e-01,0
"02","015","999","0546",4,499,2.83999991e+00,0
"02","015","999","0567",6,101,5.79999983e-01,0
"02","015","999","0574",2,5439,3.10000000e+01,0
"02","015","999","0810",7,87,5.00000000e-01,0
"02","015","999","0813",10,43,2.50000000e-01,0
"02","015","999","0814",11,39,2.19999999e-01,0
"02","017","999","0008",13,42,1.40000001e-01,0
"02","017","999","0268",14,1,0.00000000e+00,0
"02","017","999","0298",9,109,3.70000005e-01,0
"02","017","999","0301",12,84,2.89999992e-01,0
"02","017","999","0503",5,1121,3.82999992e+00,0
"02","017","999","0511",3,3694,1.26300001e+01,0
"02","017","999","0518",2,10072,3.44300003e+01,0
"02","017","999","0527",10,104,3.60000014e-01,0
"02","017","999","0546",4,1280,4.38000011e+00,0
"02","017","999","0567",6,198,6.80000007e-01,0
"02","017","999","0574",1,10487,3.58499985e+01,0
"02","017","999","0810",11,92,3.10000002e-01,0
"02","017","999","0813",8,178,6.10000014e-01,0
"02","017","999","0814",7,184,6.29999995e-01,0
"02","018","999","0008",12,8,9.00000036e-02,0
"02","018","999","0298",10,14,1.59999996e-01,0
"02","018","999","0301",11,12,1.40000001e-01,0
"02","018","999","0503",7,99,1.15999997e+00,0
"02","018","999","0511",3,1254,1.46499996e+01,0
"02","018","999","0518",1,3346,3.90900002e+01,0
"02","018","999","0546",5,325,3.79999995e+00,0
"02","018","999","0567",9,36,4.19999987e-01,0
"02","018","999","0574",2,1940,2.26700001e+01,0
"02","018","999","0810",8,38,4.39999998e-01,0
"02","018","999","0813",4,840,9.81000042e+00,0
"02","018","999","0814",6,138,1.61000001e+00,0
"02","021","999","0008",12,1,9.99999978e-03,0
"02","021","999","0298",5,86,9.39999998e-01,0
"02","021","999","0301",10,21,2.30000004e-01,0
"02","021","999","0503",6,58,6.29999995e-01,0
"02","021","999","0511",3,1129,1.22900000e+01,0
"02","021","999","0518",1,3985,4.33800011e+01,0
"02","021","999","0546",4,389,4.23000002e+00,0
"02","021","999","0567",7,41,4.49999988e-01,0
"02","021","999","0574",2,2073,2.25699997e+01,0
"02","021","999","0810",8,33,3.60000014e-01,0
"02","021","999","0813",9,27,2.89999992e-01,0
"02","021","999","0814",11,19,2.09999993e-01,0
"02","022","999","0008",12,20,1.09999999e-01,0
"02","022","999","0298",11,34,1.89999998e-01,0
"02","022","999","0301",8,99,5.50000012e-01,0
"02","022","999","0503",5,211,1.17999995e+00,0
"02","022","999","0511",3,2853,1.59700003e+01,0
"02","022","999","0518",1,6348,3.55400009e+01,0
"02","022","999","0546",4,566,3.17000008e+00,0
"02","022","999","0567",7,107,6.00000024e-01,0
"02","022","999","0574",2,6237,3.49199982e+01,0
"02","022","999","0810",10,62,3.49999994e-01,0
"02","022","999","0813",6,155,8.70000005e-01,0
"02","022","999","0814",9,87,4.90000010e-01,0
"02","024","999","0008",7,169,1.07000005e+00,0
"02","024","999","0298",12,12,7.99999982e-02,0
"02","024","999","0301",8,101,6.39999986e-01,0
"02","024","999","0503",5,287,1.82000005e+00,0
"02","024","999","0511",3,1709,1.08400002e+01,0
"02","024","999","0518",1,5204,3.30099983e+01,0
"02","024","999","0546",4,1276,8.09000015e+00,0
"02","024","999","0567",9,47,3.00000012e-01,0
"02","024","999","0574",2,4983,3.16100006e+01,0
"02","024","999","0810",10,43,2.70000011e-01,0
"02","024","999","0813",6,199,1.25999999e+00,0
"02","024","999","0814",11,16,1.00000001e-01,0
"02","025","999","0008",10,9,9.00000036e-02,0
"02","025","999","0298",9,26,2.50000000e-01,0
"02","025","999","0301",7,45,4.39999998e-01,0
"02","025","999","0503",6,144,1.40999997e+00,0
"02","025","999","0511",3,1384,1.35699997e+01,0
"02","025","999","0518",1,4387,4.30000000e+01,0
"02","025","999","0546",4,662,6.48999977e+00,0
